bin_start,bin_end,count
0.000000000000000000e+00,2.727163583040237513e-03,2.619198220000000000e+08
2.727163583040237513e-03,5.454327166080475027e-03,1.231862000000000000e+06
5.454327166080475027e-03,8.181490749120712974e-03,6.226030000000000000e+05
8.181490749120712974e-03,1.090865433216095005e-02,2.834030000000000000e+05
1.090865433216095005e-02,1.363581791520118713e-02,1.299160000000000000e+05
1.363581791520118713e-02,1.636298149824142595e-02,4.514700000000000000e+04
1.636298149824142595e-02,1.909014508128166129e-02,1.780900000000000000e+04
1.909014508128166129e-02,2.181730866432190011e-02,7.755000000000000000e+03
2.181730866432190011e-02,2.454447224736213892e-02,3.536000000000000000e+03
2.454447224736213892e-02,2.727163583040237427e-02,2.264000000000000000e+03
2.727163583040237427e-02,2.999879941344261308e-02,1.652000000000000000e+03
2.999879941344261308e-02,3.272596299648285190e-02,8.490000000000000000e+02
3.272596299648285190e-02,3.545312657952309071e-02,5.590000000000000000e+02
3.545312657952309071e-02,3.818029016256332259e-02,4.550000000000000000e+02
3.818029016256332259e-02,4.090745374560356140e-02,3.180000000000000000e+02
4.090745374560356140e-02,4.363461732864380022e-02,2.130000000000000000e+02
4.363461732864380022e-02,4.636178091168403903e-02,1.720000000000000000e+02
4.636178091168403903e-02,4.908894449472427784e-02,8.800000000000000000e+01
4.908894449472427784e-02,5.181610807776450972e-02,8.400000000000000000e+01
5.181610807776450972e-02,5.454327166080474854e-02,7.600000000000000000e+01
5.454327166080474854e-02,5.727043524384498735e-02,7.000000000000000000e+01
5.727043524384498735e-02,5.999759882688522616e-02,6.500000000000000000e+01
5.999759882688522616e-02,6.272476240992545804e-02,5.900000000000000000e+01
6.272476240992545804e-02,6.545192599296570379e-02,5.900000000000000000e+01
6.545192599296570379e-02,6.817908957600593567e-02,5.300000000000000000e+01
6.817908957600593567e-02,7.090625315904618142e-02,5.100000000000000000e+01
7.090625315904618142e-02,7.363341674208641330e-02,4.500000000000000000e+01
7.363341674208641330e-02,7.636058032512664517e-02,4.800000000000000000e+01
7.636058032512664517e-02,7.908774390816689093e-02,4.500000000000000000e+01
7.908774390816689093e-02,8.181490749120712280e-02,4.200000000000000000e+01
